Created - 10:47:05.795100: Large marble: Apollo, marbles: Lemon Lime, Lemon Lime, Mulberry, Ivory, Russian Green, Zomp, Mango Tango
Created - 10:47:05.899152: Large marble: Lucky, marbles: Safety Yellow, Lavender Purple, Mango Tango, Blue Bell, Pale Plum, Indigo, Neon Silver
Created - 10:47:05.999032: Large marble: The Boss, marbles: Brown, Middle Red Purple, Chinese Red, Outrageous Orange, Black Coral, Pastel Gray, Beaver
Created - 10:47:06.107008: Large marble: Sure Shot, marbles: Sheen Green, Mulberry, Shandy, Thulian Pink, White Smoke, Orange Soda, Stop Red
Created - 10:47:06.219050: Large marble: Hercules, marbles: Pale Plum, Platinum, Brink Pink, Russian Green, Mulberry, Lilac Luster, Fiery Rose
Created - 10:47:06.323039: Large marble: Sure Shot, marbles: Mango Tango, Platinum, Shandy, Granny Smith Apple, Almond, Vegas Gold, Icterine
Created - 10:47:06.427132: Large marble: Apollo, marbles: Gold, Ivory, Black Coral, Silver Pink, Chinese Red, Chinese Red, Spanish Pink
Created - 10:47:06.530996: Large marble: Sure Shot, marbles: Gold, Bistre Brown, Outrageous Orange, Gold, Silver Chalice, Auburn, Lavender Blue
Created - 10:47:06.635361: Large marble: Winner, marbles: Blue, Mango Tango, Platinum, Black Coral, Safety Yellow, Zomp, Chinese Red
Created - 10:47:06.747776: Large marble: Zeus, marbles: Purple, Golden Yellow, Orange Soda, Zomp, Gold, Black Coral, Venetian Red
Created - 10:47:06.856261: Large marble: Spinner, marbles: Light Orange, Gold, Lilac Luster, Neon Pink, Venetian Red, Lavender Blue, Neon Dark Green
Created - 10:47:06.964219: Large marble: Apollo, marbles: Blue Bell, Middle Green, Orange Soda, Outrageous Orange, Almond, Blue, Spanish Pink
Created - 10:47:07.076124: Large marble: Zeus, marbles: Safety Yellow, Maximum Violet, Golden Yellow, Zomp, Neon Silver, Rose Dust, Brown
Created - 10:47:07.184119: Large marble: Lucky, marbles: Gold, Stop Red, Dark Fuchsia, Lavender Purple, Royal Red, Blue, Vegas Gold
Created - 10:47:07.293359: Large marble: Hercules, marbles: Pale Taupe, Safety Yellow, Lilac Luster, Icterine, Duke Blue, Auburn, Eerie Black
Created - 10:47:07.398231: Large marble: Winner, marbles: Eerie Black, Orange Soda, Maximum Violet, Mint Cream, Shandy, Pale Cerulean, Pale Goldenrod
Created - 10:47:07.500141: Large marble: 5-Star, marbles: Icterine, Spanish Orange, Zomp, Beaver, Pale Plum, Granny Smith Apple, Duke Blue
